Biomark Device Manager Version 1.2.37
Export All Records To File
Export Date/Time: 11/12/2024 1:58:19 PM

Scan Date   Scan Time     Download Date  Download Time  S/N   Reader ID  HEX Tag ID      DEC Tag ID        Temperature,C  Signal,mV  Is Duplicate  
----------  ------------  -------------  -------------  ----  ---------  --------------  ----------------  -------------  ---------  ------------  
07/25/2023  21:39:36.390  11/12/2024     13:52:56       3566  05         3DD.003D8BB9AF  989.001032567215                                          
07/25/2023  21:41:46.110  11/12/2024     13:52:56       3566  05         3DD.003D8BB9BA  989.001032567226                                          
07/25/2023  21:43:35.130  11/12/2024     13:52:56       3566  05         3DD.003D8BB9BA  989.001032567226                            Yes           
07/25/2023  21:45:46.390  11/12/2024     13:52:56       3566  05         3DD.003E057596  989.001040545174                                          
07/25/2023  21:47:08.330  11/12/2024     13:52:56       3566  05         3DD.003E057596  989.001040545174                            Yes           
07/25/2023  21:51:58.890  11/12/2024     13:52:56       3566  05         3DD.003D8BB9BA  989.001032567226                            Yes           
07/25/2023  21:52:54.600  11/12/2024     13:52:56       3566  05         3DD.003D8BB9AF  989.001032567215                            Yes           
07/25/2023  21:54:07.540  11/12/2024     13:52:56       3566  05         3DD.003D8BB9AF  989.001032567215                            Yes           
07/25/2023  21:57:24.500  11/12/2024     13:52:56       3566  05         3DD.003D8BB9AF  989.001032567215                            Yes           
07/25/2023  21:59:49.040  11/12/2024     13:52:56       3566  05         3DD.003D8BB9AF  989.001032567215                            Yes           
07/25/2023  22:02:28.160  11/12/2024     13:52:56       3566  05         3DD.003D8BB9AF  989.001032567215                            Yes           
07/25/2023  22:03:59.330  11/12/2024     13:52:56       3566  05         3DD.003D8BB9AF  989.001032567215                            Yes           
07/25/2023  22:05:10.190  11/12/2024     13:52:56       3566  05         3DD.003D8BB9AF  989.001032567215                            Yes           
07/25/2023  23:59:04.230  11/12/2024     13:52:56       3566  05         3DD.003DE1BCDA  989.001038204122                                          
07/26/2023  00:15:03.130  11/12/2024     13:52:56       3566  05         3E7.0000001D05  999.000000007429                                          
07/26/2023  04:40:34.950  11/12/2024     13:52:56       3566  05         3DD.003DE1BCA9  989.001038204073                                          
07/26/2023  12:04:32.330  11/12/2024     13:52:56       3566  05         3E7.0000001D05  999.000000007429                            Yes           
07/26/2023  12:05:14.560  11/12/2024     13:52:56       3566  05         3DD.003DA4B0FB  989.001034203387                                          
