Biomark Device Manager Version 1.2.37
Export All Records To File
Export Date/Time: 9/4/2024 3:32:51 PM

Scan Date   Scan Time     Download Date  Download Time  S/N   Reader ID  HEX Tag ID      DEC Tag ID        Temperature,C  Signal,mV  Is Duplicate  
----------  ------------  -------------  -------------  ----  ---------  --------------  ----------------  -------------  ---------  ------------  
10/23/2023  15:35:50.470  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.530  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.590  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.650  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.720  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.790  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.850  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.910  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:50.970  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.040  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.100  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.160  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.220  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.270  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.330  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.370  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.400  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.460  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.490  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.520  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.570  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.610  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.640  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.670  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.700  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.730  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.760  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.790  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.820  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.850  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.880  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.920  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:51.940  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.000  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.030  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.060  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.090  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.130  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.160  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.220  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.280  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.340  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.400  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.470  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.530  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.590  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.650  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.720  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.790  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.840  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.870  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.900  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.930  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.960  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:52.990  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.020  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.050  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.100  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
10/23/2023  15:35:53.130  09/04/2024     15:32:18       1527  01         3DD.0077BE0311  989.002008941329                            Yes           
